iter	Passed	Remaining
1419	350360	143105
1420	350497	142813
1421	350662	142533
1422	350828	142254
1423	350978	141968
1424	351106	141674
1425	351264	141392
1426	351396	141100
1427	351573	140826
1428	351713	140537
1429	351879	140259
1430	352027	139974
1431	352180	139691
1432	352333	139409
1433	352468	139119
1434	352644	138846
1435	352778	138556
1436	352913	138267
1437	353078	137990
1438	353235	137710
1439	353378	137424
1440	353542	137147
1441	353688	136864
1442	353823	136576
1443	353996	136303
1444	354136	136017
1445	354268	135729
1446	354456	135462
1447	354609	135182
1448	354795	134915
1449	354913	134622
1450	355080	134348
1451	355259	134078
1452	355412	133799
1453	355561	133519
1454	355730	133246
1455	355883	132967
1456	356025	132684
1457	356172	132404
1458	356326	132126
1459	356501	131856
1460	356653	131578
1461	356845	131315
1462	357421	131192
1463	357749	130979
1464	358290	130843
1465	358635	130635
1466	359004	130435
1467	359352	130228
1468	359718	130027
1469	360067	129820
1470	360402	129607
1471	360731	129392
1472	361136	129205
1473	361737	129086
1474	362152	128901
1475	362496	128691
1476	362830	128476
1477	363175	128266
1478	363561	128070
1479	363914	127861
1480	364276	127656
1481	364683	127466
1482	365110	127284
1483	365516	127093
1484	365918	126901
1485	366161	126653
1486	366511	126442
1487	366835	126222
1488	367208	126019
1489	367562	125809
1490	367901	125594
1491	368164	125353
1492	368499	125136
1493	368895	124940
1494	369185	124708
1495	369578	124510
1496	369902	124289
1497	370204	124060
1498	370589	123859
1499	370897	123632
1500	371248	123419
1501	371601	123207
1502	372055	123028
1503	372380	122806
1504	372758	122601
1505	373143	122398
1506	373534	122198
1507	373843	121970
1508	374242	121771
1509	374624	121566
1510	374912	121331
1511	375214	121100
1512	375562	120885
1513	375865	120654
1514	376199	120433
1515	376553	120219
1516	376826	119978
1517	377185	119765
1518	377488	119533
1519	377883	119331
1520	378224	119111
1521	378574	118895
1522	378880	118664
1523	379236	118449
1524	379527	118213
1525	379922	118009
1526	380305	117802
1527	380696	117597
1528	381021	117371
1529	381421	117168
1530	381772	116950
1531	382086	116720
1532	382385	116486
1533	382736	116268
1534	383125	116060
1535	383441	115831
1536	383617	115559
1537	383772	115281
1538	383944	115008
1539	384098	114730
1540	384253	114453
1541	384428	114181
1542	384596	113908
1543	384728	113624
1544	384896	113351
1545	385044	113072
1546	385202	112796
1547	385355	112519
1548	385495	112239
1549	385677	111970
1550	385800	111685
1551	385944	111406
1552	386105	111132
1553	386262	110857
1554	386351	110563
1555	386518	110291
1556	386650	110010
1557	386869	109753
1558	387022	109478
1559	387137	109192
1560	387305	108921
1561	387452	108645
1562	387597	108368
1563	387792	108105
1564	387952	107833
1565	388089	107554
1566	388230	107277
1567	388371	107000
1568	388579	106741
1569	388757	106475
1570	388924	106205
1571	389085	105934
1572	389249	105663
1573	389404	105391
1574	389557	105118
1575	389752	104857
1576	389901	104583
1577	390045	104308
1578	390233	104045
1579	390348	103763
1580	390498	103490
1581	390673	103224
1582	390826	102952
1583	390952	102674
1584	391082	102396
1585	391263	102133
1586	391422	101863
1587	391606	101600
1588	391795	101339
1589	391986	101078
1590	392130	100805
1591	392322	100544
1592	392479	100275
1593	392651	100010
1594	392808	99741
1595	392957	99470
1596	393124	99204
1597	393317	98944
1598	393476	98676
1599	393652	98413
1600	393839	98152
1601	393998	97884
1602	394169	97620
1603	394314	97349
1604	394459	97078
1605	394638	96816
1606	394784	96546
1607	394971	96286
1608	395127	96019
1609	395315	95759
1610	395498	95499
1611	395634	95227
1612	395821	94967
1613	396017	94710
1614	396143	94436
1615	396286	94167
1616	396439	93899
1617	396591	93632
1618	396734	93363
1619	396915	93103
1620	397075	92838
1621	397229	92572
1622	397386	92307
1623	397560	92046
1624	397713	91780
1625	397875	91516
1626	398027	91250
1627	398198	90988
1628	398367	90727
1629	398516	90460
1630	398663	90194
1631	398804	89926
1632	398939	89657
1633	399074	89388
1634	399211	89120
1635	399346	88852
1636	399502	88588
1637	399638	88320
1638	399783	88054
1639	399899	87782
1640	400052	87519
1641	400181	87250
1642	400320	86983
1643	400461	86718
1644	400572	86445
1645	400772	86192
1646	400921	85929
1647	401074	85666
1648	401206	85399
1649	401354	85135
1650	401525	84877
1651	401680	84615
1652	401842	84355
1653	402031	84100
1654	402211	83844
1655	402381	83586
1656	402561	83330
1657	402701	83066
1658	402887	82811
1659	403046	82551
